Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-03-26 16:30:49.022 +0530,"Success",0:00:20,0,0,0,"20250326_163049.022/LogFile.txt","","",1
2025-03-26 17:49:58.881 +0530,"Failure",0:03:11,1,0,0,"20250326_174958.881/LogFile.txt","","AssertionFailed -- (false: imagefound(text:""Your registration completed""))",2
2025-03-27 10:09:56.709 +0530,"Success",0:04:21,0,0,0,"20250327_100956.709/LogFile.txt","","",5
2025-06-10 15:46:59.203 +0530,"Aborted",0:00:54,1,0,1,"20250610_154659.203/LogFile.txt","","",0
2025-06-23 12:40:47.812 +0530,"Failure",0:00:02,1,0,0,"20250623_124047.812/LogFile.txt","","Connection Failed -- Unable to connect to Server:Mymachine on port:0\nInvalid hostname or IP address: No such host is known. \n",0
2025-06-23 13:04:03.840 +0530,"Failure",0:00:02,1,0,0,"20250623_130403.840/LogFile.txt","","Connection Failed -- Unable to connect to Server:Mymachine on port:0\nInvalid hostname or IP address: No such host is known. \n",0
2025-06-23 13:04:48.166 +0530,"Failure",0:00:02,1,0,0,"20250623_130448.166/LogFile.txt","","Connection Failed -- Unable to connect to Server:Mymachine on port:0\nInvalid hostname or IP address: No such host is known. \n",0
2025-06-23 13:56:25.276 +0530,"Failure",0:00:02,1,0,0,"20250623_135625.276/LogFile.txt","","Connection Failed -- Unable to connect to Server:Mymachine on port:0\nInvalid hostname or IP address: No such host is known. \n",0
2025-06-23 14:51:44.802 +0530,"Failure",0:00:03,1,0,0,"20250623_145144.802/LogFile.txt","","Connection Failed -- Unable to connect to Server:Mymachine on port:0\nInvalid hostname or IP address: No such host is known. \n",0
2025-06-23 15:02:01.493 +0530,"Failure",0:00:03,1,0,0,"20250623_150201.493/LogFile.txt","","Connection Failed -- Unable to connect to Server:Mymachine on port:0\nInvalid hostname or IP address: No such host is known. \n",0
2025-06-23 15:06:28.654 +0530,"Failure",0:03:49,1,0,0,"20250623_150628.654/LogFile.txt","","AssertionFailed -- (false: imagefound(text:""Your registration completed""))",2
2025-06-23 15:19:38.794 +0530,"Success",0:04:22,0,0,0,"20250623_151938.794/LogFile.txt","","",2
2025-06-23 15:24:12.133 +0530,"Success",0:03:22,0,0,0,"20250623_152412.133/LogFile.txt","","",2
2025-06-23 15:37:48.015 +0530,"Failure",0:00:02,1,0,0,"20250623_153748.015/LogFile.txt","","Connection Failed -- Unable to connect to Server:Mymachine on port:0\nInvalid hostname or IP address: No such host is known. \n",0
2025-06-23 15:45:01.004 +0530,"Failure",0:00:02,1,0,0,"20250623_154501.004/LogFile.txt","","Connection Failed -- Unable to connect to Server:Mymachine on port:0\nInvalid hostname or IP address: No such host is known. \n",0
2025-06-23 16:20:57.924 +0530,"Failure",0:00:00,1,0,0,"20250623_162057.924/LogFile.txt","","Connection Failed -- Unable to connect to Server:127.0.0.1 on port:0\nGateway Error: Failed to determine domain and username from input",0
2025-06-23 16:50:31.377 +0530,"Failure",0:00:00,1,0,0,"20250623_165031.377/LogFile.txt","","Connection Failed -- Unable to connect to Server:127.0.0.1 on port:0\nGateway Error: The connection failed at negotiating security settings.",0
2025-06-23 16:54:33.643 +0530,"Failure",0:00:03,1,0,0,"20250623_165433.643/LogFile.txt","","Connection Failed -- Unable to connect to Server:127.0.0.1 on port:0\nGateway Error: The connection failed at negotiating security settings.",0
